Location,Filename,DOY,Year,Rep.class,Total.length.m,BV,Width.5.proc.m,Width.10.proc.m,Width.15.proc.m,Width.20.proc.m,Width.25.proc.m,Width.30.proc.m,Width.35.proc.m,Width.40.proc.m,Width.45.proc.m,Width.50.proc.m,Width.55.proc.m,Width.60.proc.m,Width.65.proc.m,Width.70.proc.m,Width.75.proc.m,Width.80.proc.m,Width.85.proc.m,Width.90.proc.m,Width.95.proc.m
HI,2019.01.15.08.01,15,2019,Calf,5.72,3.12,0.49,0.65,0.77,1.03,1.09,1.18,1.2,1.17,1.17,1.11,1.04,0.92,0.75,0.6,0.46,0.33,0.29,0.55,1.25
HI,2019.01.15.03.02,15,2019,Calf,4.36,1.34,0.4,0.52,0.65,0.84,0.85,0.88,0.89,0.9,0.89,0.84,0.75,0.63,0.51,0.41,0.32,0.25,0.2,0.37,1
HI,2019.01.16.19.02,16,2019,Calf,5.26,1.87,0.43,0.58,0.67,0.92,0.92,0.94,0.95,0.98,0.97,0.9,0.81,0.71,0.59,0.48,0.32,0.2,0.15,0.5,1.11
HI,2019.01.16.20.02,16,2019,Calf,5.35,2.17,0.4,0.57,0.68,0.92,0.97,1.01,1.03,1.02,1.01,0.98,0.91,0.77,0.65,0.51,0.38,0.25,0.21,0.48,1.25
HI,2019.01.16.29.02,16,2019,Calf,5.07,1.94,0.47,0.62,0.69,0.86,0.95,1.02,1.03,0.98,0.95,0.89,0.83,0.74,0.66,0.52,0.38,0.24,0.19,0.57,1.14
HI,2019.01.16.31.02,16,2019,Calf,4.88,1.54,0.34,0.5,0.64,0.79,0.85,0.9,0.89,0.88,0.86,0.82,0.77,0.67,0.55,0.46,0.39,0.32,0.24,0.4,1.12
HI,2019.01.18.39.02,18,2019,Calf,5,1.69,0.38,0.55,0.61,0.82,0.86,0.93,0.95,0.98,0.94,0.92,0.8,0.68,0.56,0.42,0.35,0.26,0.23,0.36,1.13
HI,2019.01.18.47.01,18,2019,Calf,4.86,1.7,0.47,0.55,0.65,0.88,0.87,0.95,0.97,0.93,0.93,0.91,0.8,0.67,0.54,0.45,0.39,0.27,0.25,0.44,1.07
HI,2019.01.18.37.02,18,2019,Calf,4.91,1.49,0.38,0.54,0.62,0.84,0.81,0.91,0.94,0.93,0.89,0.81,0.69,0.57,0.5,0.41,0.35,0.28,0.21,0.31,0.98
HI,2019.01.19.64.02,19,2019,Calf,4.38,1.13,0.34,0.49,0.58,0.76,0.73,0.73,0.79,0.83,0.84,0.77,0.73,0.64,0.49,0.41,0.3,0.22,0.18,0.28,0.85
HI,2019.01.19.54.01,19,2019,Calf,5.09,1.7,0.36,0.58,0.72,0.88,0.92,0.98,0.97,0.98,0.96,0.81,0.72,0.6,0.52,0.42,0.32,0.21,0.21,0.43,1.12
HI,2019.01.19.51.02,19,2019,Calf,4.43,1.23,0.38,0.53,0.58,0.74,0.8,0.84,0.86,0.86,0.83,0.78,0.73,0.62,0.54,0.43,0.28,0.25,0.19,0.34,0.87
HI,2019.01.19.57.02,19,2019,Calf,5.02,1.56,0.36,0.53,0.61,0.84,0.85,0.92,0.92,0.9,0.91,0.86,0.79,0.67,0.49,0.37,0.3,0.24,0.19,0.51,1.18
HI,2019.01.19.59.02,19,2019,Calf,5.31,2.17,0.4,0.58,0.71,0.89,0.91,0.96,1,1.02,1.04,1,0.93,0.82,0.65,0.54,0.39,0.27,0.22,0.63,1.28
HI,2019.01.19.65.02,19,2019,Calf,4.76,1.32,0.37,0.49,0.57,0.71,0.81,0.81,0.85,0.87,0.86,0.83,0.74,0.61,0.51,0.42,0.34,0.21,0.18,0.43,1.22
HI,2019.01.24.115.02,24,2019,Calf,5.5,2.93,0.47,0.63,0.78,1.1,1.09,1.2,1.22,1.2,1.17,1.09,0.99,0.81,0.74,0.55,0.46,0.36,0.23,0.58,1.47
HI,2019.01.24.122.02,24,2019,Calf,4.95,2.21,0.45,0.6,0.78,1.04,1,1.11,1.16,1.1,1.04,0.94,0.88,0.71,0.61,0.54,0.44,0.29,0.22,0.42,1.58
HI,2019.01.24.123.02,24,2019,Calf,5.33,2.69,0.43,0.64,0.76,1.07,1.07,1.1,1.11,1.11,1.11,1.05,0.95,0.85,0.73,0.59,0.51,0.36,0.3,0.46,1.46
HI,2022.01.07.029.02,7,2022,Calf,3.58,0.7,0.27,0.39,0.46,0.59,0.65,0.67,0.72,0.75,0.76,0.73,0.64,0.52,0.43,0.33,0.24,0.18,0.15,0.26,0.67
HI,2020.01.04.40.02,4,2020,Calf,3.6,0.67,0.3,0.44,0.52,0.65,0.68,0.71,0.69,0.72,0.66,0.61,0.57,0.49,0.44,0.34,0.22,0.18,0.18,0.47,0.83
HI,2022.02.02.14.02,33,2022,Calf,3.75,0.72,0.26,0.39,0.46,0.59,0.65,0.65,0.67,0.69,0.69,0.69,0.63,0.57,0.47,0.38,0.26,0.21,0.19,0.24,0.85
HI,2022.02.06.69.04,37,2022,Calf,3.83,0.85,0.32,0.47,0.53,0.71,0.7,0.76,0.78,0.76,0.74,0.69,0.61,0.54,0.45,0.38,0.28,0.22,0.17,0.3,0.79
HI,2022.01.08.048.01,8,2022,Calf,3.84,1.01,0.34,0.54,0.62,0.75,0.78,0.94,0.92,0.88,0.8,0.71,0.61,0.52,0.41,0.35,0.29,0.23,0.21,0.49,0.88
HI,2021.02.07.62.02,38,2021,Calf,3.88,0.95,0.28,0.4,0.5,0.71,0.69,0.73,0.79,0.84,0.81,0.78,0.71,0.59,0.53,0.43,0.32,0.23,0.18,0.13,0.74
HI,2021.02.05.29.01,36,2021,Calf,3.94,0.95,0.32,0.43,0.56,0.74,0.76,0.78,0.8,0.77,0.79,0.77,0.71,0.56,0.46,0.37,0.29,0.21,0.17,0.32,0.74
HI,2021.01.09.40.02,9,2021,Calf,3.94,0.9,0.3,0.41,0.48,0.59,0.68,0.71,0.76,0.75,0.74,0.71,0.69,0.61,0.54,0.43,0.36,0.26,0.2,0.31,0.8
HI,2022.03.14.132.02,73,2022,Calf,3.97,0.86,0.31,0.43,0.5,0.61,0.64,0.64,0.66,0.7,0.72,0.73,0.68,0.62,0.55,0.46,0.34,0.25,0.18,0.2,0.83
