"","Region","Year","DOY","Grade_pass","Altitude_Source","Filename","Rep.class","Corrected_height_m","Pixel_length","Width.5.proc.m","Width.10.proc.m","Width.15.proc.m","Width.20.proc.m","Width.25.proc.m","Width.30.proc.m","Width.35.proc.m","Width.40.proc.m","Width.45.proc.m","Width.50.proc.m","Width.55.proc.m","Width.60.proc.m","Width.65.proc.m","Width.70.proc.m","Width.75.proc.m","Width.80.proc.m","Width.85.proc.m","Width.90.proc.m","Width.95.proc.m","Total.length.m","Volume.m3"
"2","HI",2019,15,"Y","S_Alt","2019.01.15.03.02","Calf",29.66091393,0.14691,0.399494948531377,0.521265263026514,0.64888812860405,0.839947813996471,0.845319018040548,0.877799996078667,0.892285400438287,0.89779996224845,0.894160560386427,0.844897316342215,0.753928497501023,0.629437003340017,0.507348581033091,0.409622593024671,0.316027294385371,0.245247318028402,0.201792152401753,0.305826401442986,0.8315080229208,4.3574848654563,1.33475001255378
"7","HI",2019,16,"Y","S_Alt","2019.01.16.20.01","Mother",26.92526647,0.47405,0.927294817125521,1.50430676407576,1.72794772606421,1.77775146444655,2.19653688719683,2.16061204980039,2.23092149695117,2.43212265340641,2.47317085273896,2.43170886107701,2.2540846722682,2.08641755308392,1.78898822452569,1.45516815880411,1.08475352641452,0.688745071786033,0.47457689003377,0.332002444089994,1.33320363650378,12.7639225701035,30.2557673639913
"8","HI",2019,16,"Y","S_Alt","2019.01.16.20.02","Calf",27.23761989,0.19656,0.40302410571034,0.567556814059374,0.683767693581492,0.915898891891892,0.966988120791145,1.00779650575458,1.02819748406652,1.01675311120621,1.00833327237531,0.981633806750981,0.91464279423532,0.767201112695559,0.645590427945318,0.505677617266748,0.3789512597362,0.251099299949171,0.208761612790904,0.401168886914106,1.04084524241318,5.3538265655784,2.16415348139894
"9","HI",2019,16,"Y","S_Alt","2019.01.16.28.03","Mother",44.31016642,0.25962,0.861407418205183,1.31860649301799,1.49079874702427,1.59198447079668,2.00671112286723,2.01510367003326,2.0436957916757,2.02262740379981,2.03596486862188,2.01904993543972,1.85208852042094,1.63129656535689,1.48707762834531,1.21184461592969,0.976162658111165,0.604014785375139,0.357545171769656,0.322763615485682,1.38599826185541,11.5038054059604,19.9527692137032
"10","HI",2019,16,"Y","S_Alt","2019.01.16.28.04","Yearling",40.52863803,0.21997,0.655918188003475,1.02783840890608,1.19701946301035,1.35439576932709,1.6632834723722,1.73552707631495,1.84200958829858,1.95452185691521,1.96500140770198,1.9417162518164,1.72070798511601,1.58897285972796,1.43160190602796,1.10831258112065,0.855882789007076,0.535264197509967,0.252027309033878,0.412793680184471,1.55756417988175,8.9150845074591,12.7231427470298
"13","HI",2019,16,"Y","S_Alt","2019.01.16.31.01","Mother",33.51786646,0.42361,1.07213896318877,1.63961538602518,1.88893084040649,1.97206440401882,2.39875044388819,2.59078072715533,2.60964108766483,2.78106016598967,2.8410065512394,2.87236149536117,2.79504134710758,2.60617008460484,2.28837565008934,1.85589324300427,1.39496430471706,0.909346245245067,0.433256392921332,0.305511247451049,1.63811514943716,14.1985034111206,47.3075128744525
"14","HI",2019,16,"Y","S_Alt","2019.01.16.31.02","Calf",32.12062813,0.15199,0.337176239459764,0.502674000072477,0.64188377724395,0.786506958851083,0.854343625562442,0.903864989542006,0.888568532571295,0.878228842784357,0.86070019853986,0.819812730498026,0.766874502827224,0.673523615711791,0.551131441328336,0.456458710379169,0.385674127471544,0.318105933172374,0.244671801055668,0.337196169697177,0.935153703779558,4.8820142694787,1.53943210065931
"15","HI",2019,18,"Y","S_Alt","2019.01.18.37.01","Mother",29.82653577,0.4328,1.00342254779439,1.54026554541053,1.7787089859997,1.8498652198321,2.3145166013666,2.25737523851967,2.31150500087416,2.53061405821342,2.62417052425326,2.58957509148306,2.37647218502096,2.13923307481457,1.79959799363076,1.33482106376749,0.960344104112397,0.744046700543922,0.419142577700905,0.479188593181078,0.969899697438037,12.908924681256,32.49389753035
"16","HI",2019,18,"Y","S_Alt","2019.01.18.37.02","Calf",30.91753566,0.15871,0.38150203569949,0.537333291907041,0.620218898006971,0.839447058581336,0.806627113653343,0.911103595485961,0.935130116698935,0.930916932314504,0.894015188785049,0.810507414406324,0.692394497471473,0.574425927954277,0.498440139802307,0.412770685376169,0.345086360782091,0.283974862834701,0.214012791035881,0.255537784049379,0.81680804270092,4.9069220845986,1.49227463477374
"17","HI",2019,18,"Y","S_Alt","2019.01.18.39.01","Mother",28.95496055,0.39991,0.808028495337455,1.22138371542897,1.48980475401056,1.6023218621791,1.96852661875866,1.93442862902298,1.90245646376434,2.0109999913266,2.06955399041056,2.01264058774678,1.89027294995638,1.67660890147587,1.42018507145346,1.19482273722186,0.881869237605054,0.601350885465387,0.380801893827102,0.306997300294184,1.36107771935644,11.5793782735505,19.4678946448281
