"","Region","Year","DOY","Grade_pass","Altitude_Source","Filename","Role","Pixel_Width_5","Pixel_Width_10","Pixel_Width_15","Pixel_Width_20","Pixel_Width_25","Pixel_Width_30","Pixel_Width_35","Pixel_Width_40","Pixel_Width_45","Pixel_Width_50","Pixel_Width_55","Pixel_Width_60","Pixel_Width_65","Pixel_Width_70","Pixel_Width_75","Pixel_Width_80","Pixel_Width_85","Pixel_Width_90","Pixel_Width_95","Corrected_height_m","Pixel_length"
"1","HI",2019,15,"N","S_Alt","2019.01.15.03.01","Mother",9.21469134,14.08606536,16.7582859,17.60271987,18.97778415,21.82566449,21.32035214,23.46662599,23.48878014,23.24622021,22.05669602,20.48337924,17.15619806,13.36845084,9.313393263,5.996423419,4.145079709,6.428957069,26.44015043,"32.97236219",0.349137317
"2","HI",2019,15,"Y","S_Alt","2019.01.15.03.02","Calf",9.168016892,11.96252607,14.89134555,19.27597777,19.39924163,20.14464819,20.477074,20.60362778,20.52010708,19.38956399,17.3019189,14.44496132,11.64315188,9.400436391,7.252516168,5.628185194,4.630931802,7.018415689,19.08229285,"29.66091393",0.14691
"3","HI",2019,15,"N","S_Alt","2019.01.15.06.02","Mother",9.23554136,13.33295788,15.24164909,16.46303128,20.91648517,21.71981018,22.57256665,24.47837405,24.76568176,23.722282,22.25214234,19.60454027,16.97562966,13.26514345,9.806319091,6.205201956,3.880260396,3.781384324,12.27284012,"35.1236886",0.325234314
"4","HI",2019,15,"N","S_Alt","2019.01.15.08.01","Calf",8.592941627,11.40709426,13.43478839,17.99478284,19.00087338,20.61067589,20.94253736,20.53144169,20.42106134,19.39355031,18.11500893,16.0694844,13.12511585,10.40803982,8.035108414,5.839892618,5.002380354,7.944887816,18.17134577,"33.1213199",0.17277
"5","HI",2019,16,"N","S_Alt","2019.01.16.19.01","Mother",7.601259483,12.22898542,13.32856246,14.26288717,17.53144471,16.76094352,17.62160528,19.22494802,19.39204943,19.03362848,17.8556097,16.04386146,14.20165147,11.51100284,7.885681299,5.245173901,3.469278566,3.075581043,11.55991936,"28.41806378",0.44047
"6","HI",2019,16,"N","S_Alt","2019.01.16.19.02","Calf",8.151804447,10.96769809,12.79752887,17.40438664,17.49475132,17.82365907,18.11683399,18.5981586,18.36427425,17.15453298,15.43385784,13.45948679,11.13914605,9.107957878,6.044239751,3.718699977,2.812207498,7.884672711,17.64288168,"28.3481908",0.18548
"7","HI",2019,16,"Y","S_Alt","2019.01.16.20.01","Mother",7.264967427,11.78561493,13.53774842,13.9279399,17.2089487,16.92749261,17.47833775,19.05466474,19.37626023,19.05142285,17.65981155,16.34620973,14.01597522,11.40063449,8.498590621,5.396029849,3.718111634,2.601100424,10.44509342,"26.92526647",0.47405
"8","HI",2019,16,"Y","S_Alt","2019.01.16.20.02","Calf",7.527776643,10.60095629,12.77156974,17.10736948,18.06162581,18.82385418,19.20490833,18.99114771,18.83388003,18.33518129,17.0839078,14.32995827,12.05848602,9.445162466,7.078138507,4.690090291,3.899297264,7.493124441,19.44114606,"27.23761989",0.19656
"9","HI",2019,16,"Y","S_Alt","2019.01.16.28.03","Mother",7.488021466,11.46235047,12.95917911,13.83876391,17.44388967,17.5168442,17.7653891,17.58224633,17.69818592,17.5511482,16.09979007,14.18049513,12.92683226,10.53429342,8.485563026,5.250565044,3.108059978,2.805711711,12.048172,"44.31016642",0.25962
"10","HI",2019,16,"Y","S_Alt","2019.01.16.28.04","Yearling",7.357397313,11.52920545,13.42689979,15.19218094,18.65695688,19.46730931,20.66171764,21.92376141,22.04130994,21.78012166,19.3010844,17.82341893,16.05819782,12.4318797,9.600388962,6.004028308,2.826976108,4.630283424,17.47110954,"40.52863803",0.21997
"11","HI",2019,16,"N","S_Alt","2019.01.16.29.01","Mother",7.934657852,11.76964562,11.13231406,13.82884612,17.48153162,17.35476171,17.63721438,18.73034366,19.43507052,18.97325728,17.56441594,15.76950151,13.55490642,10.92803897,7.677107702,5.489816526,3.713897177,2.502679045,10.48601328,"35.51454667",0.34995
